"product_id","product_category_name","product_name_length","product_description_length","product_photos_qty","product_weight_g","product_length_cm","product_height_cm","product_width_cm"
"1e9e8ef04dbcff4541ed26657ea517e5","perfumaria",40.0,287.0,1.0,225.0,16.0,10.0,14.0
"3aa071139cb16b67ca9e5dea641aaa2f","artes",44.0,276.0,1.0,1000.0,30.0,18.0,20.0
"96bd76ec8810374ed1b65e291975717f","esporte_lazer",46.0,250.0,1.0,154.0,18.0,9.0,15.0
"cef67bcfe19066a932b7673e239eb23d","bebes",27.0,261.0,1.0,371.0,26.0,4.0,26.0
"9dc1a7de274444849c219cff195d0b71","utilidades_domesticas",37.0,402.0,4.0,625.0,20.0,17.0,13.0
"41d3672d4792049fa1779bb35283ed13","instrumentos_musicais",60.0,745.0,1.0,200.0,38.0,5.0,11.0
"732bd381ad09e530fe0a5f457d81becb","cool_stuff",56.0,1272.0,4.0,18350.0,70.0,24.0,44.0
"2548af3e6e77a690cf3eb6368e9ab61e","moveis_decoracao",56.0,184.0,2.0,900.0,40.0,8.0,40.0
"37cc742be07708b53a98702e77a21a02","eletrodomesticos",57.0,163.0,1.0,400.0,27.0,13.0,17.0
"8c92109888e8cdf9d66dc7e463025574","brinquedos",36.0,1156.0,1.0,600.0,17.0,10.0,12.0
"14aa47b7fe5c25522b47b4b29c98dcb9","cama_mesa_banho",54.0,630.0,1.0,1100.0,16.0,10.0,16.0
"03b63c5fc16691530586ae020c345514","bebes",49.0,728.0,4.0,7150.0,50.0,19.0,45.0
"cf55509ea8edaaac1d28fdb16e48fc22","instrumentos_musicais",43.0,1827.0,3.0,250.0,17.0,7.0,17.0
"7bb6f29c2be57716194f96496660c7c2","moveis_decoracao",51.0,2083.0,2.0,600.0,68.0,11.0,13.0
"eb31436580a610f202c859463d8c7415","construcao_ferramentas_seguranca",59.0,1602.0,4.0,200.0,17.0,7.0,17.0
"3bb7f144022e6732727d8d838a7b13b3","esporte_lazer",22.0,3021.0,1.0,800.0,16.0,2.0,11.0
"6a2fb4dd53d2cdb88e0432f1284a004c","perfumaria",39.0,346.0,2.0,400.0,27.0,5.0,20.0
"a1b71017a84f92fd8da4aeefba108a24","informatica_acessorios",59.0,636.0,1.0,900.0,40.0,15.0,20.0
"a0736b92e52f6cead290e30b578413b6","moveis_decoracao",56.0,296.0,2.0,1700.0,100.0,7.0,15.0
"f53103a77d9cf245e579ea37e5ec51f0","cama_mesa_banho",52.0,206.0,1.0,500.0,16.0,10.0,16.0
"1c1890ba1779090cd54008a3c3302921","moveis_decoracao",27.0,158.0,4.0,2550.0,29.0,24.0,45.0
"518ef5de2c2b3a255e326a4594ba15d9","cama_mesa_banho",27.0,329.0,2.0,800.0,36.0,8.0,16.0
"e3e020af31d4d89d2602272b315c3f6e","beleza_saude",58.0,1987.0,3.0,75.0,21.0,7.0,13.0
"8b41fbc2b984a12030090112324d1bc4","bebes",55.0,1627.0,1.0,500.0,20.0,13.0,13.0
"d03bd02af9fff4b98f1c972315e5e9ef","moveis_decoracao",56.0,209.0,1.0,1800.0,40.0,10.0,30.0
"8ba4f2a4ae695d26e5626c1bf710975e","utilidades_domesticas",52.0,968.0,1.0,900.0,50.0,5.0,50.0
"f6574524b07d5bb753bab6f35abe2d06","malas_acessorios",52.0,573.0,5.0,3600.0,35.0,25.0,50.0
"c78b767da00efb70c1bcccab87c28cd5","informatica_acessorios",35.0,1101.0,2.0,300.0,42.0,2.0,30.0
"a0253d43394dd4da9a5d7b1f546f1a32","informatica_acessorios",59.0,1890.0,2.0,740.0,23.0,13.0,13.0
"051b9ff13dd55c0a6655a15ff296f80d","esporte_lazer",50.0,529.0,2.0,3600.0,62.0,23.0,23.0
"47859fca9dd7485cbd93c3e8993bb74f","cama_mesa_banho",45.0,206.0,1.0,650.0,16.0,10.0,16.0
"e1d1d22e9f8122a4ec1533b032c12562","ferramentas_jardim",49.0,1163.0,9.0,2150.0,70.0,8.0,34.0
"20e37962088a4061d3578def47a8648b","moveis_decoracao",60.0,208.0,1.0,800.0,40.0,10.0,34.0
"1eba879220bd0981a0e2fbab499ed4e1","moveis_escritorio",57.0,476.0,1.0,8950.0,52.0,51.0,17.0
"ce5b91848b91118daffb3af53b747475","esporte_lazer",50.0,699.0,4.0,1388.0,34.0,9.0,31.0
"5370b82a213393979691c98074265584","bebes",52.0,708.0,9.0,7950.0,33.0,30.0,44.0
"b8dac5113b06a97e64943234522572b9","automotivo",43.0,1062.0,2.0,6000.0,87.0,3.0,42.0
"750cf819d127191920eda79a4b6fb479","eletronicos",31.0,806.0,1.0,263.0,18.0,12.0,16.0
"e6af694343b45b56304ad91974a110b9","utilidades_domesticas",37.0,352.0,1.0,3900.0,19.0,20.0,15.0
"680874c570dad71c0a2844cfbf417054","moveis_decoracao",47.0,502.0,1.0,600.0,25.0,25.0,25.0
"8b3a9476f74f5297f7ff0ec6d95fe1ea","moveis_decoracao",63.0,254.0,2.0,2050.0,49.0,13.0,41.0
"1c6fb703c624b381a20f21f757694866","brinquedos",33.0,471.0,2.0,725.0,22.0,17.0,15.0
"db46052aed7dff59ba38cf2fe29b87f9","cama_mesa_banho",56.0,509.0,4.0,6350.0,45.0,15.0,35.0
"b864b103180d5a6a3f830e67f93e8735","bebes",47.0,980.0,4.0,600.0,70.0,11.0,11.0
"7a8dac4aaa16bc642e4df33adcf03303","cool_stuff",38.0,1701.0,2.0,11750.0,18.0,40.0,79.0
"83b9bc6aae6f527ff6aafb9e01d6cbf3","brinquedos",20.0,866.0,3.0,2550.0,22.0,32.0,38.0
"5f504b3a1c75b73d6151be81eb05bdc9","cool_stuff",38.0,1176.0,3.0,15350.0,47.0,40.0,47.0
"bbf920aa6ac72007a726e6f419156f8f","moveis_decoracao",42.0,303.0,2.0,1300.0,25.0,16.0,25.0
"c3b7e4d83e530c27a8e6368296aece48","moveis_decoracao",60.0,1972.0,2.0,850.0,69.0,11.0,11.0
"c5d8079278e912d7e3b6beb48ecb56e8","beleza_saude",60.0,330.0,1.0,1300.0,19.0,28.0,17.0
"5eaa343860dc445b3fd43d1b682809fd","esporte_lazer",53.0,3218.0,5.0,4800.0,60.0,30.0,15.0
"b5cfb1d3c5e435a7a52227e08f220ee7","cool_stuff",55.0,410.0,2.0,1300.0,36.0,16.0,24.0
"334479e94cba98064050db1c9636e244","automotivo",57.0,311.0,1.0,220.0,18.0,14.0,17.0
"3fcd8dfe610c62edfb51de2630cd9ef4","bebes",50.0,509.0,4.0,5700.0,41.0,17.0,49.0
"4c8056caed5757810b9a68b83c3759e6","malas_acessorios",53.0,1291.0,2.0,450.0,20.0,40.0,30.0
"30e77af9e7759bbaa0305d2fbc605dc4","fashion_calcados",60.0,402.0,2.0,2000.0,32.0,12.0,37.0
"92bf5d2084dfbcb57d9db7838bac5cd0","telefonia",51.0,427.0,2.0,100.0,19.0,3.0,11.0
"fdeb34a9f03fea7c3937dd62d1d0287e","cool_stuff",58.0,1252.0,1.0,1100.0,30.0,20.0,23.0
"1065dbb6b0bf03daaedab1236979e296","papelaria",49.0,488.0,3.0,1400.0,38.0,40.0,39.0
